PHOTOID, LATITUDE, LONGITUDE, DATETIME
36913929816, 62.112130, 25.667688, 2016:12:28 17:26:07
36706078070, 62.112086, 25.668144, 2016:12:28 17:29:46
37102210765, 62.131725, 25.668997, 2016:12:28 18:22:14
36706075580, 62.131725, 25.668997, 2016:12:28 18:37:49
36931742342, 62.131730, 25.669069, 2016:12:28 18:41:00
36266957854, 62.131772, 25.669002, 2016:12:28 18:41:37
36266955424, 62.131747, 25.669227, 2016:12:28 18:48:03
36931738672, 62.131747, 25.669227, 2016:12:28 18:48:37
36931736992, 62.130902, 25.669030, 2016:12:28 19:31:20
36706069140, 62.130902, 25.669030, 2016:12:28 19:31:32
36706066690, 62.130902, 25.669030, 2016:12:28 19:34:55
36913912326, 62.131525, 25.669255, 2016:12:28 19:56:42
36931728692, 62.131680, 25.669300, 2016:12:28 20:04:05
36706060170, 62.131677, 25.669358, 2016:12:28 20:04:23
36289250023, 62.131819, 25.669155, 2016:12:28 20:56:59
36931722022, 62.131577, 25.669127, 2016:12:28 20:57:04
36931720242, 62.131577, 25.669127, 2016:12:28 21:56:03
36960617671, 62.131588, 25.668966, 2016:12:28 21:58:59
37102188245, 62.131588, 25.668966, 2016:12:28 22:01:38
36289240373, 62.131588, 25.668966, 2016:12:28 22:14:26
36289239903, 62.131588, 25.668966, 2016:12:28 22:12:02
37102182715, 62.131588, 25.668966, 2016:12:28 22:14:43
36931709992, 62.131588, 25.668966, 2016:12:28 22:15:47
36960609441, 62.131588, 25.668966, 2016:12:28 22:16:07
36931706512, 62.131558, 25.668997, 2016:12:28 22:22:47
36960606961, 62.131558, 25.668997, 2016:12:28 22:24:18
36913890216, 62.131558, 25.668997, 2016:12:28 22:26:15
37102170005, 62.131638, 25.668944, 2016:12:28 22:42:06
36960604581, 62.131638, 25.668944, 2016:12:28 22:56:09
36960603701, 62.131602, 25.668772, 2016:12:28 22:59:14
36706027750, 62.131602, 25.668772, 2016:12:28 22:59:42
36931690052, 62.131572, 25.668900, 2016:12:28 23:44:36
36931686312, 62.131247, 25.668633, 2016:12:28 23:47:05
36913874996, 62.131352, 25.668438, 2016:12:28 23:47:26
36931680322, 62.131252, 25.668341, 2016:12:28 23:48:00
37102159005, 62.131811, 25.669136, 2016:12:28 23:52:40
36289215773, 62.131586, 25.669125, 2016:12:28 23:56:06
36706012160, 62.131661, 25.669291, 2016:12:29 09:24:52
36706009620, 62.131452, 25.668991, 2016:12:29 09:29:36
37102151565, 62.131447, 25.669022, 2016:12:29 09:30:04
36706004230, 62.131666, 25.669358, 2016:12:29 09:30:52
36931666882, 62.131666, 25.669358, 2016:12:29 09:31:08
36931665002, 62.131666, 25.669358, 2016:12:29 09:31:37
37102142645, 62.131666, 25.669358, 2016:12:29 09:33:57
36266914394, 62.131608, 25.669183, 2016:12:29 09:34:44
36266912824, 62.131608, 25.669183, 2016:12:29 09:42:11
36289199003, 62.131608, 25.669183, 2016:12:29 09:44:18
36705986820, 62.131655, 25.669305, 2016:12:29 09:46:48
36266905754, 62.131655, 25.669305, 2016:12:29 10:20:15
36266903624, 62.131861, 25.669244, 2016:12:29 10:53:38
36913836746, 62.131861, 25.669244, 2016:12:29 10:54:03
36960560381, 62.131730, 25.669358, 2016:12:29 10:59:15
36913828266, 62.131736, 25.669413, 2016:12:29 11:01:24
36266895534, 62.131730, 25.669361, 2016:12:29 11:03:16
36705969060, 62.131861, 25.669233, 2016:12:29 11:05:06
36913821326, 62.131750, 25.669369, 2016:12:29 12:11:45
36266891584, 62.131525, 25.668855, 2016:12:29 13:31:01
36266889644, 62.131497, 25.668694, 2016:12:29 13:37:33
36931645432, 62.131497, 25.668694, 2016:12:29 13:49:11
36266886424, 62.131525, 25.668855, 2016:12:29 14:18:07
36705955270, 62.131525, 25.668855, 2016:12:29 14:18:25
36266882854, 62.131547, 25.668911, 2016:12:29 14:44:18
36266881534, 62.131922, 25.669086, 2016:12:29 14:57:50
36266879974, 62.131650, 25.669308, 2016:12:29 15:28:44
36266877524, 62.131469, 25.668972, 2016:12:29 15:29:45
36931636562, 62.131427, 25.669100, 2016:12:29 15:59:51
36289173293, 62.131650, 25.668958, 2016:12:29 16:01:21
36705940440, 62.131650, 25.668958, 2016:12:29 16:02:40
36705939080, 62.131533, 25.668800, 2016:12:29 16:04:03
36289166313, 62.131577, 25.669038, 2016:12:29 17:07:23
36289164013, 62.131408, 25.669275, 2016:12:29 18:03:03
36960512901, 62.131294, 25.669525, 2016:12:29 18:05:37
36289158793, 62.131766, 25.669363, 2016:12:29 19:04:15
36289155493, 62.131380, 25.669472, 2016:12:29 19:36:36
36960502581, 62.131305, 25.669402, 2016:12:29 19:38:37
36289145923, 62.131305, 25.669402, 2016:12:29 19:39:38
36960494291, 62.131305, 25.669402, 2016:12:29 19:40:42
36705914650, 62.131313, 25.669327, 2016:12:29 19:42:25
36960487781, 62.131408, 25.669275, 2016:12:29 20:04:46
36705906900, 62.131405, 25.669333, 2016:12:29 20:09:27
36960479311, 62.131405, 25.669333, 2016:12:29 20:59:10
36705899360, 62.131488, 25.669036, 2016:12:29 21:01:43
37102046705, 62.131669, 25.669280, 2016:12:29 21:07:48
36913776056, 62.131488, 25.669036, 2016:12:29 21:17:36
36931616622, 62.131563, 25.669000, 2016:12:29 21:56:48
36931614792, 62.131563, 25.669000, 2016:12:29 21:57:55
36931613622, 62.131563, 25.669000, 2016:12:29 21:57:57
37102034285, 62.131747, 25.669350, 2016:12:29 22:25:41
36931610502, 62.131863, 25.669125, 2016:12:29 22:26:22
37102027755, 62.131869, 25.669052, 2016:12:30 08:17:34
36157301066, 61.443333, 24.106819, 2016:12:03 14:14:40
36198385805, 61.498791, 23.764288, 2016:12:15 14:42:49
32855455110, 61.471498, 23.595970, 2016:12:03 16:15:38
32807851460, 62.231315, 25.778388, 2016:12:18 14:06:26
32614103110, 62.266463, 25.902105, 2016:12:17 23:44:53
31905560273, 61.471037, 23.594833, 2016:12:03 16:23:54
32178977212, 61.442645, 23.835096, 2016:12:16 13:23:07
31518535063, 61.442645, 23.835096, 2016:12:16 13:33:24
31952131690, 61.442645, 23.835096, 2016:12:16 08:56:45
32178974982, 61.442645, 23.835096, 2016:12:16 14:04:39
32159769452, 61.497183, 23.750293, None
32141924345, 61.472072, 23.759227, 2017:01:01 12:09:58
31300551714, 61.474627, 23.753125, 2017:01:01 12:20:47
32141913365, 61.474441, 23.752594, 2017:01:01 12:22:27
31766889500, 61.474591, 23.752188, 2017:01:01 12:24:57
32103262476, 61.473730, 23.747977, 2017:01:01 12:29:58
31300525774, 61.473538, 23.747436, 2017:01:01 12:31:18
32103254456, 61.473450, 23.747275, 2017:01:01 12:31:59
32141886455, 61.473347, 23.746227, 2017:01:01 12:34:11
31296450324, 61.505522, 23.630294, 2016:12:25 11:32:32
32098510355, 62.023455, 23.784252, 2016:12:31 23:27:29
32059469956, 62.023455, 23.784252, 2016:12:31 21:57:33
31288185973, 62.023455, 23.784252, 2017:01:01 00:12:51
31257273254, 62.023455, 23.784252, 2017:01:01 00:31:37
31908983532, 61.476947, 24.504863, 2016:12:31 15:50:52
31908981962, 61.476947, 24.504863, 2016:12:31 15:49:25
31246128573, 61.505859, 23.759844, 2016:12:31 15:05:40
32055969935, 61.505993, 23.760359, 2016:12:31 15:04:50
31246118223, 61.505993, 23.760359, 2016:12:31 15:03:38
31681163570, 61.505993, 23.760359, 2016:12:31 15:01:40
31681159880, 61.506069, 23.761260, 2016:12:31 15:00:45
31246108263, 61.506187, 23.764189, 2016:12:31 14:55:01
31908073382, 61.506438, 23.765079, 2016:12:31 14:50:58
31938192031, 61.507410, 23.761121, 2016:12:31 14:44:54
32017020736, 61.507211, 23.759543, 2016:12:31 14:41:26
32017018356, 61.507037, 23.758417, 2016:12:31 14:40:06
31215000164, 61.506469, 23.755896, 2016:12:31 14:38:55
31938167441, 61.506888, 23.757945, 2016:12:31 14:38:23
31214995304, 61.506673, 23.756539, 2016:12:31 14:36:50
31214991604, 61.506673, 23.756539, 2016:12:31 14:36:03
32055895905, 61.506469, 23.755896, 2016:12:31 14:35:31
32016999466, 61.507733, 23.765745, 2016:12:31 14:28:52
31246081093, 61.507733, 23.765745, 2016:12:31 14:28:32
