PHOTOID, LATITUDE, LONGITUDE, DATETIME
29263114894, 63.095931, 21.619053, 2016:09:22 07:51:35
29855406686, 63.095562, 21.618109, 2016:09:22 07:50:14
29855290426, 63.095553, 21.618001, 2016:09:22 07:49:59
29806773521, 63.095562, 21.617980, 2016:09:22 07:49:50
29254366183, 63.095533, 21.617894, 2016:09:22 07:49:45
29797472101, 63.095310, 21.616714, 2016:09:22 07:48:33
29766562082, 63.095310, 21.616714, 2016:09:22 07:47:13
29253600713, 63.095310, 21.616714, 2016:09:22 07:47:03
29252911764, 63.095310, 21.616714, 2016:09:22 07:45:42
29252800234, 63.094999, 21.615813, 2016:09:22 07:45:01
29765985542, 63.094999, 21.615813, 2016:09:22 07:44:56
29765891852, 63.095310, 21.616714, 2016:09:22 07:44:17
29248035424, 63.095310, 21.616714, 2016:09:22 07:41:22
29247732294, 63.095320, 21.616285, 2016:09:22 07:41:17
29839653466, 63.095320, 21.616285, 2016:09:22 07:29:15
29247103404, 63.095320, 21.616285, 2016:09:22 07:26:17
29247029904, 63.095320, 21.616285, 2016:09:22 07:30:32
29246529174, 63.095320, 21.616778, 2016:09:22 07:24:23
29759762532, 63.097349, 21.622615, 2016:09:22 07:08:32
29838232026, 63.097349, 21.622615, 2016:09:22 06:55:37
29790280951, 63.097349, 21.622615, 2016:09:22 06:51:28
29245750504, 63.097349, 21.622615, 2016:09:22 06:49:45
29789845221, 63.097349, 21.622615, 2016:09:22 05:43:46
29246164683, 63.097155, 21.623688, 2016:09:22 05:42:05
29758655662, 63.097155, 21.623688, 2016:09:22 05:41:38
29789282031, 63.097349, 21.622615, 2016:09:22 05:45:36
29737846431, 63.094942, 21.609914, 2016:09:18 14:29:17
29289658810, 63.088970, 21.629086, None
29545713026, 63.092641, 21.615257, None
28890455774, 63.099205, 21.602554, None
29256351166, 63.096898, 21.607995, None
29185312631, 63.096898, 21.607995, None
28484850863, 63.114955, 21.706669, 2016:08:20 11:35:57
28484311093, 63.072650, 21.660189, None
28303270723, 63.096780, 21.613348, None
28301016014, 63.093866, 21.613500, None
