termPHOTOID, LATITUDE, LONGITUDE, DATETIME
37000674702, 62.248938, 25.733638, 2017:09:09 15:24:23
36335715284, 62.248913, 25.733377, 2017:09:09 15:24:55
36358048643, 62.248913, 25.733377, 2017:09:09 15:24:55
36982752616, 62.248911, 25.733569, 2017:09:09 15:24:57
36982751116, 62.248966, 25.733713, 2017:09:09 15:26:49
36982750506, 62.248969, 25.733552, 2017:09:09 15:27:20
36982749146, 62.248969, 25.733552, 2017:09:09 15:27:20
36774652700, 62.248969, 25.733552, 2017:09:09 15:27:20
37172377145, 62.248969, 25.733552, 2017:09:09 15:27:20
37172375785, 62.248969, 25.733552, 2017:09:09 15:27:20
36774647710, 62.248969, 25.733552, 2017:09:09 15:27:21
37000650212, 62.248969, 25.733552, 2017:09:09 15:27:24
37172369645, 62.248969, 25.733552, 2017:09:09 15:27:25
37172367435, 62.248969, 25.733552, 2017:09:09 15:27:26
37172362665, 62.249061, 25.733541, 2017:09:09 15:27:28
36982734466, 62.249061, 25.733541, 2017:09:09 15:27:32
36982731506, 62.248811, 25.733972, 2017:09:09 15:28:48
37030229891, 62.248886, 25.733830, 2017:09:09 15:28:57
36982728496, 62.248886, 25.733830, 2017:09:09 15:28:57
36982727926, 62.248886, 25.733830, 2017:09:09 15:28:57
37030224061, 62.248886, 25.733830, 2017:09:09 15:29:01
37172341775, 62.248886, 25.733830, 2017:09:09 15:29:01
37172338205, 62.248886, 25.733830, 2017:09:09 15:29:02
37172336425, 62.249030, 25.733772, 2017:09:09 15:29:21
37000624162, 62.248886, 25.733900, 2017:09:09 15:30:05
37000621232, 62.248727, 25.734000, 2017:09:09 15:31:38
37000617272, 62.248655, 25.734080, 2017:09:09 15:31:59
36335651294, 62.248611, 25.734061, 2017:09:09 15:32:22
37000612892, 62.248591, 25.734325, 2017:09:09 15:32:54
36335646094, 62.248658, 25.734441, 2017:09:09 15:32:58
36335643484, 62.248827, 25.733802, 2017:09:09 15:34:27
36335642524, 62.248819, 25.733880, 2017:09:09 15:35:34
37000595142, 62.248794, 25.733880, 2017:09:09 15:35:56
37000593082, 62.248794, 25.733880, 2017:09:09 15:35:56
37000591192, 62.248797, 25.733894, 2017:09:09 15:36:29
36982701506, 62.248797, 25.733894, 2017:09:09 15:36:29
36982699856, 62.248797, 25.733894, 2017:09:09 15:36:32
37000579882, 62.248797, 25.733894, 2017:09:09 15:36:32
36357979963, 62.248797, 25.733894, 2017:09:09 15:36:32
36774577910, 62.248813, 25.733608, 2017:09:09 15:37:46
36774576310, 62.248813, 25.733608, 2017:09:09 15:37:46
37030163281, 62.248816, 25.733922, 2017:09:09 15:38:24
36335616424, 62.248816, 25.733922, 2017:09:09 15:38:24
37030160761, 62.248797, 25.733844, 2017:09:09 15:38:28
37030158721, 62.248980, 25.733550, 2017:09:09 15:38:58
37172292125, 62.248980, 25.733550, 2017:09:09 15:38:59
36982674886, 62.248980, 25.733550, 2017:09:09 15:38:59
37000554632, 62.248980, 25.733550, 2017:09:09 15:38:59
36982669816, 62.249055, 25.733511, 2017:09:09 15:39:23
36982667636, 62.249005, 25.733486, 2017:09:09 15:39:26
37172282885, 62.249175, 25.733561, 2017:09:09 15:43:05
36982662226, 62.249175, 25.733561, 2017:09:09 15:43:07
37172278985, 62.249205, 25.733786, 2017:09:09 15:44:01
37172274155, 62.249233, 25.733822, 2017:09:09 16:10:38
36357940603, 62.249233, 25.733822, 2017:09:09 16:10:39
37172264955, 62.249227, 25.733802, 2017:09:09 16:11:11
37172261465, 62.249197, 25.733763, 2017:09:09 16:12:11
37030108581, 62.249197, 25.733763, 2017:09:09 16:12:13
37030106491, 62.249122, 25.733944, 2017:09:09 16:13:34
36335577734, 62.249213, 25.733688, 2017:09:09 16:15:28
37000521282, 62.249213, 25.733688, 2017:09:09 16:15:28
36357919893, 62.249213, 25.733688, 2017:09:09 16:15:38
37030095361, 62.249244, 25.733655, 2017:09:09 16:15:39
36982633406, 62.249244, 25.733655, 2017:09:09 16:15:40
36982631366, 62.249244, 25.733655, 2017:09:09 16:15:40
36335564994, 62.249244, 25.733655, 2017:09:09 16:15:41
36982629346, 62.249244, 25.733655, 2017:09:09 16:15:41
36357900653, 62.249244, 25.733872, 2017:09:09 16:18:35
36335557764, 62.249141, 25.733663, 2017:09:09 16:19:18
36335555154, 62.249141, 25.733663, 2017:09:09 16:19:18
36983348876, 60.380158, 25.676111, 2017:09:11 18:37:09
37001221702, 60.385680, 25.672552, 2017:09:11 17:58:18
37030790851, 60.172700, 24.939222, 2017:09:04 18:33:00
37172845815, 60.416161, 24.304139, 2017:09:11 19:27:09
37172840445, 59.567375, 21.972655, 2017:09:08 10:29:34
36983090066, 60.172659, 24.937562, 2017:09:04 18:27:34
36774832430, 60.172812, 24.924148, None
37172587765, 60.173014, 24.925253, None
36335836604, 60.182869, 24.912121, 2013:08:31 16:29:48
37030355731, 60.169348, 24.935939, 2013:08:30 20:21:13
36982842676, 60.169754, 24.935070, 2013:08:30 20:14:14
36982838796, 60.169364, 24.935896, 2013:08:30 20:13:16
36774714800, 60.158888, 24.931388, 2017:09:11 18:54:02
37029267471, 61.472910, 23.505420, 2017:09:11 18:50:15
37028975951, 60.145780, 24.985397, 2017:09:11 16:40:34
37171056065, 60.119222, 25.018925, 2017:09:11 15:33:56
36773170280, 62.244573, 25.890569, 2017:09:03 05:20:19
36980799736, 65.132594, 25.281141, 2017:09:11 19:41:46
37028142541, 65.132594, 25.281141, 2017:09:11 19:41:50
37170247575, 65.140388, 25.260963, 2017:09:11 19:14:57
36998722672, 65.140397, 25.261011, 2017:09:11 19:15:15
36998715122, 65.140388, 25.260963, 2017:09:11 19:14:06
36771886410, 60.238975, 24.959538, 2017:09:11 18:23:47
37169460605, 66.542934, 25.834693, None
36771878450, 60.239016, 24.959513, 2017:09:11 18:22:23
36332479114, 60.172555, 24.933096, None
37026420941, 65.034105, 25.493550, None
36353996643, 61.068563, 28.177657, 2017:09:05 19:47:26
36770539830, 65.041063, 25.415411, None
36978344406, 60.176116, 24.924344, None
37025608961, 60.243727, 24.752141, 2017:09:11 15:58:40
36769891720, 60.207972, 24.947958, 2017:09:11 17:32:24
36996060152, 62.905205, 27.662786, None
37024152701, 61.440211, 23.718341, 2017:09:11 15:28:09
36995087892, 61.440122, 23.718772, 2017:09:11 15:40:14
37022396201, 60.163210, 24.946593, None
37164681435, 63.001529, 21.559467, 2017:09:09 20:50:12
36975172716, 60.168073, 24.950026, None
36349270983, 59.976730, 23.418731, None
36972760106, 60.175686, 24.805366, 2017:09:10 17:05:51
37162183635, 60.174916, 24.802636, 2017:09:10 16:28:06
36972707156, 60.174891, 24.802666, 2017:09:10 16:27:53
36972701236, 60.174900, 24.802683, 2017:09:10 16:27:51
36348254613, 60.174991, 24.802780, 2017:09:10 16:27:38
36325817464, 60.175105, 24.802988, 2017:09:10 16:27:30
36764546950, 60.176444, 24.802180, 2017:09:10 16:25:08
36764542910, 60.176541, 24.802169, 2017:09:10 16:22:51
36764538410, 60.163475, 24.910580, 2017:09:10 16:06:39
36990508732, 62.905194, 27.662569, None
36347803593, 61.501002, 23.779686, None
36764107540, 61.498366, 23.773602, None
37019252161, 61.498327, 23.773583, None
36325384174, 61.498363, 23.773552, None
36764098570, 61.498408, 23.773730, None
37019240351, 61.498408, 23.773730, None
36990251562, 61.498883, 23.776450, None
36346905033, 60.495570, 26.742310, 2017:08:28 13:30:49
36970742986, 60.169780, 24.952055, 2017:09:09 22:30:36
36988804672, 60.169783, 24.952086, 2017:09:09 22:29:52
36988772882, 60.169783, 24.952086, 2017:09:09 22:29:51
36970663896, 60.169736, 24.952141, 2017:09:09 22:29:51
36970655066, 60.169780, 24.951283, 2017:09:09 22:26:26
36762632170, 60.169780, 24.951283, 2017:09:09 22:26:25
36346232703, 60.169780, 24.951283, 2017:09:09 22:26:23
36346225893, 60.169088, 24.951255, 2017:09:09 20:47:05
36988733282, 60.169083, 24.951236, 2017:09:09 20:46:42
36988727302, 60.169083, 24.951236, 2017:09:09 20:46:41
37017730671, 60.169083, 24.951236, 2017:09:09 20:46:39
36970576126, 60.169461, 24.951752, 2017:09:09 20:45:51
37159895505, 60.559799, 22.455925, 2017:09:11 08:03:15
37159884145, 60.168255, 24.826038, 2017:09:09 20:07:17
36970436556, 61.914922, 23.379678, 2017:09:09 07:02:42
